ShareRaceByCity
Geographic area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Carrollton town,50278,87.8,7.4,49,43.1,0.1,0,10.4
AL,Castleberry town,27857,71,29.1,59.2,38.4,0.3,0,0.5
AL,Catherine CDP,20677,75.9,39.6,72.7,27.3,0,0,0
AL,Cedar Bluff town,-,100,0,86.2,9.9,0.7,0.3,1.2
AL,Center Point city,36389,77.9,25.8,32.6,62.9,0.2,0.4,4.8
AL,Centre city,39944,87.1,25,87,9.9,0.4,0.3,1.2
AL,Centreville city,31268,76.7,25.1,72.2,23.7,0.3,0.4,3
AL,Chatom town,41103,81.6,22.4,68.2,31.1,0,0,0.6
AL,Chelsea city,35365,76,19.8,89.5,5.7,0.3,2,3.2
AL,Cherokee town,85757,93.5,4.9,77.6,18.3,0.5,0.3,1.7
AL,Chickasaw city,28359,80.9,19.9,63,33.6,0.8,0.5,2.3
AL,Childersburg city,30973,79.9,33.6,60.1,36.9,0.4,0.5,1.3
AL,Choccolocco CDP,25948,78.8,38.6,87.5,7.2,0.3,0.7,4.3
AL,Chunchula CDP,54825,89.4,14.7,45.7,51.9,0,0,0.5
AL,Citronelle city,(X),91.2,0,70.7,20.2,4.9,0.5,2.6
AL,Clanton city,48125,82.5,16.9,74.9,19.1,0.3,0.6,6
AL,Clay city,39823,76.8,16.9,84.1,13.3,0.3,0.6,1.3
AL,Clayhatchee town,68717,92.2,6.6,94.9,1.7,0.3,0.3,2.4
AL,Clayton town,32656,85.3,16.4,35.8,63.8,0,0,0.6
AL,Cleveland town,25203,57.8,29.3,89.2,0.3,0.2,0.3,18.4
AL,Clio city,40909,74.4,15,32,36.5,0.4,0.5,36
AL,Coaling town,19539,63.1,31.4,86.4,11.4,0.1,0.1,0.8
AL,Coats Bend CDP,54167,88.2,19.5,84.4,12.6,0.5,0,0.9
AL,Coffee Springs town,42821,90.9,15,96.1,0,0,0,2.6
AL,Coffeeville town,33636,78,21.2,51.4,46,0,0,0.6
AL,Coker town,19583,71.7,41.3,95.2,2,0.2,0.9,1.8
AL,Collinsville town,45795,89.2,10,47.8,9,1.1,0.1,43.1
AL,Colony town,25795,52,32.1,10.4,86.9,0,0.4,0.4
AL,Columbia town,33063,77,24.8,77,21.1,0.4,0,0.4
AL,Columbiana city,31806,79,20.1,71.3,25.1,0.3,0.2,3
AL,Concord CDP,32700,74.4,24,98.5,0.5,0.2,0.2,0.5
AL,Coosada town,44620,91.3,7.9,57.7,40,0.4,0.2,2.9
AL,Cordova city,47406,84.3,23.5,83.4,14.5,0.8,0.1,0.7
AL,Cottonwood town,19139,79.8,32.8,71.8,25.4,0.6,0,1.1
AL,County Line town,43875,74.9,12.8,94.2,1.2,3.1,1.2,0.4
AL,Courtland town,25313,76.3,29.8,57.6,38.4,1.3,0.3,0.3
AL,Cowarts town,55313,83.9,10.7,80.8,14.6,0.7,0.1,1.7
AL,Creola city,33125,79.6,25.8,84.7,9.8,1.8,0.1,3.1
AL,Crossville town,43533,86,11.7,88.7,0.4,1.9,0.2,8.3
AL,Cuba town,51705,84.4,18.1,85.3,13,0.6,0,0.3
AL,Cullman city,30833,70.4,38.1,93.4,0.9,0.3,0.9,8.2
AL,Cullomburg CDP,40673,92.1,21,42.1,57.3,0,0,0
AL,Cusseta town,38746,85.3,21.9,95.9,2.4,0,1.6,0
AL,Dadeville city,(X),93.4,8.5,50.2,47.5,0.3,0.6,0.9
AL,Daleville city,52500,83.7,9.3,66.2,22.6,1.1,2.7,10.1
AL,Daphne city,29368,73.7,28.8,84.1,11.8,0.4,1.5,2.9
AL,Dauphin Island town,45651,85.3,24.5,97.3,0.4,1,0.2,0.7
AL,Daviston town,60737,95.8,11.2,88.8,10.3,0,0.9,1.9
AL,Dayton town,63594,95.8,3.6,32.7,65.4,0,0,0
AL,Deatsville town,47639,87.8,12.9,77.6,19.4,0.1,0.3,1.6
AL,Decatur city,(X),100,48,66.5,21.7,0.7,0.9,12.4
AL,Deer Park CDP,78125,96.3,5.1,31.9,66.5,0,0,1.6
AL,Delta CDP,41496,82.7,21.2,97,0,2.5,0,0.5
AL,Demopolis city,(X),86.3,28.1,47.3,50.1,0.1,0.5,2.4
AL,Detroit town,(X),87,0,83.1,13.9,0,0,0.4
AL,Dodge City town,27656,89.1,31,96,0.7,0.8,0,2.5
AL,Dora city,24107,64.8,27.9,85.6,12.2,0.3,0,0.7
AL,Dothan city,41346,81.7,16.7,63.1,32.5,0.4,1.1,2.9
AL,Double Springs town,40769,82.3,17.2,97.3,0.6,0.8,0.2,0.4
AL,Douglas town,42426,86.2,19.1,93.3,0.8,0.4,0,3.9
AL,Dozier town,29063,74.5,27.5,59.6,35.3,0.3,0.3,0
AL,Dunnavant CDP,29318,78.5,34.9,96.7,0.4,0.7,0,2.3
AL,Dutton town,21765,79.1,30.3,90.8,2.5,0,0,3.2
AL,East Brewton city,42857,76,7.7,74.7,20.8,0.6,0,3.1
AL,East Point CDP,39688,90.6,24.2,96.5,0,0,1,3.5
AL,Eclectic town,26736,83.6,30.6,86.4,11,0.4,0,1.3
AL,Edgewater CDP,62059,91.4,0,31,68.4,0.1,0,1
AL,Edwardsville town,41304,84.2,13.4,98,0.5,0,0,0
AL,Egypt CDP,26818,84.1,26.5,94.3,0.9,0.5,0.5,3.3
AL,Elba city,38438,87,5.1,62.1,34.3,1.2,0.3,1.1
AL,Elberta town,56693,84.9,4.5,92.9,1.4,0.3,0.8,5.3
AL,Eldridge town,26156,76.9,31.1,97.7,0.8,0,0,0
AL,Elkmont town,31190,85.8,15.8,85.9,12.7,1.2,0,0
AL,Elmore town,30000,75,37.8,64.3,26.7,0.1,0.2,8.8
AL,Emelle town,39583,78.2,11.2,5.7,94.3,0,0,0
AL,Emerald Mountain CDP,40150,70.5,30,87.1,11,0.2,0.6,1.6
AL,Enterprise city,36250,79.3,0,69.4,20.7,0.5,2,8.8
AL,Epes town,91054,90.9,8.2,8.9,91.1,0,0,0
AL,Ethelsville town,54450,89.2,16.3,74.1,25.9,0,0,0
AL,Eufaula city,25000,81.6,24.8,51,44.6,0.5,0.6,4.3
AL,Eunola CDP,40417,80.6,32.3,91.4,7.4,0,0.4,1.6
AL,Eutaw town,32845,81.5,25.3,18.1,80.2,0.1,0.4,1.3
AL,Eva town,42023,96.1,0,96.3,0,0.4,0.2,0.4
AL,Evergreen city,22377,73.2,32.7,34.8,62.4,0.2,0.2,2.3
AL,Excel town,39868,91.2,11.1,91.1,5,1.4,0,0.7
AL,Fairfield city,18661,79.2,52.6,4.2,94.6,0,0,1.1
AL,Fairford CDP,34375,86,18.6,61.3,17.7,19.9,0,0
AL,Fairhope city,34890,88.9,23.4,91.1,6.2,0.2,0.7,2.8
AL,Fairview town,32269,57.6,0,95.5,0.2,0,0.4,11.2
AL,Falkville town,61489,95.4,11.2,92.1,3.4,1.1,0.1,2.2
AL,Faunsdale town,37750,82,24,67.3,32.7,0,0,0
AL,Fayette city,33846,65.1,26,73.4,24.3,0.3,0.3,1.4
AL,Fayetteville CDP,20625,85.7,30.2,97.2,1.3,0.3,0,0.3
AL,Fitzpatrick CDP,30646,79.1,25.9,78.3,21.7,0,0,2.4
AL,Five Points town,34632,68.5,15.3,46.8,52.5,0,0,0
AL,Flomaton town,(X),60.7,15.5,69.5,27.2,1.6,0.1,2.3
AL,Florala town,45000,61.9,20.4,80.1,15.8,0.8,0.4,2.8
AL,Florence city,24406,77.3,30.2,75,19.4,0.4,1.4,3.6
AL,Foley city,25673,79.6,30.1,77.1,14.9,0.6,1.1,9.5
AL,Forestdale CDP,35731,84.4,24.6,26.2,71.4,0.2,0.2,1.4
AL,Forkland town,40938,91.5,18.9,11.9,87.4,0.2,0,0.8
AL,Fort Deposit town,48654,93.5,17,23.7,75.5,0.1,0.1,0.4
AL,Fort Payne city,19063,74.1,48.1,77.6,4.2,0.9,0.8,20.9
AL,Fort Rucker CDP,23963,70.5,30.2,77.7,11.9,0.8,1.3,13.2
AL,Franklin town,38833,67.7,19,47.7,49.7,0,1.3,0
AL,Fredonia CDP,59265,98.8,8,87.9,11.6,0,0,0
AL,Frisco City town,60417,85,6.6,45.4,49.3,1.3,0,1.8
AL,Fruitdale CDP,66591,88.6,18.4,70.3,28.6,0,0,1.6
AL,Fruithurst town,17311,77.3,31.3,98.2,0,1.1,0.4,0
AL,Fulton town,63125,93.3,33,84.9,11,0,0.7,3.3
AL,Fultondale city,35625,75.8,13.5,75.1,16.6,0.4,1,10.8
AL,Fyffe town,32083,76,19.9,94,0.3,1.5,0.7,1.3
AL,Gadsden city,51587,85.1,14,57.3,36.3,0.4,0.6,5.4
AL,Gainesville town,42356,83.7,12.8,16.3,82.2,0,0,0
AL,Gallant CDP,29136,78.3,29.4,96.7,0.2,0.6,0,1.6
AL,Gantt town,14444,76.7,40.9,77,23,0,0,0
AL,Garden City town,45859,83.7,3.9,98.2,0.2,0.4,0,0.4
AL,Gardendale city,47000,85.6,8.3,88.4,8.6,0.3,1.2,1.5
AL,Gaylesville town,31591,79.8,19.3,96.5,0,0,0,3.5
AL,Geiger town,56132,92.2,7.8,26.5,73.5,0,0,2.9
AL,Geneva city,26818,78.4,19.3,83.2,14,0.4,0.4,1.8
AL,Georgiana town,45125,71.3,19.5,33.1,65.4,0.3,0.1,0.3
AL,Geraldine town,29912,78.1,30.3,93.5,0.3,3.7,0,2
AL,Gilbertown town,19969,71.1,35.5,77.2,21.9,0,0.5,0
AL,Glen Allen town,42292,84.2,13.8,89.4,9.4,0.2,0.2,0.2
AL,Glencoe city,33750,83.8,21.5,96.5,1.3,0.3,0.5,0.8
AL,Glenwood town,24531,76.5,21.4,70.1,29.9,0,0,0
AL,Goldville town,46691,86.6,11.1,100,0,0,0,5.5
AL,Good Hope town,36000,84.8,13.6,92.7,0.3,0.4,0.5,7.7
AL,Goodwater town,46250,86.7,9.3,24.3,73.7,0.7,0,0.7
AL,Gordo town,47754,86.5,15.2,58.9,37.8,0.2,0.2,1.5
AL,Gordon town,23809,71.6,32.2,21.4,76.5,0.3,0,1.5
AL,Gordonville town,30781,80.4,26.3,5.2,94.8,0,0,0
AL,Goshen town,22250,66.8,26.9,76.7,22.6,0.4,0,0
AL,Graham CDP,18224,76.1,39.2,83.9,16.1,0,0,0
AL,Grand Bay CDP,40132,71.2,31.9,86.9,9.4,0.6,0.7,2.3
AL,Grant town,41914,74,4.5,98.1,0,0,0.4,1.3
AL,Grayson Valley CDP,48767,84.6,6.4,70.6,25.8,0.3,0.9,2.2
AL,Graysville city,55000,89.2,7.2,73.9,23.6,0.4,0.2,1.7
AL,Greensboro city,46250,90.4,8.9,32,66.5,0.2,0.8,0.5
AL,Greenville city,41282,79.8,17.4,41.7,55.5,0,1.8,1.3
AL,Grimes town,21797,75,39.3,55.9,36.7,0,0,2.9
AL,Grove Hill town,29741,78.4,25.8,56.6,41.3,0.3,0.3,2
AL,Guin city,31579,84.5,19.1,86.9,10.9,0,0.1,1.3
AL,Gulfcrest CDP,31786,85.8,26.1,88.2,3.1,5.6,0,1.2
AL,Gulf Shores city,23000,75.4,37.5,93.4,1.5,0.5,0.9,4
AL,Guntersville city,68462,87.2,0,85.8,7.8,0.5,1.5,3.8
AL,Gurley town,47662,92.9,16.6,76.3,17.1,1.7,1.2,3.5
AL,Gu-Win town,39756,83.1,16.2,85.8,5.1,4,0,4
AL,Hackleburg town,32500,74.5,30.8,97.7,0.1,0.2,0,1.3
AL,Hackneyville CDP,39000,87.2,12,97.7,0.9,0.3,1.2,0.3
AL,Haleburg town,28819,76.5,25.7,94.2,4.9,0,0,0
AL,Haleyville city,60474,95.1,17.8,92.1,0.7,1,0.5,6
AL,Hamilton city,54167,80,8.3,89.3,7.7,0.4,0.2,3.1
AL,Hammondville town,24291,70.7,26.8,90,0.8,0.2,0.6,6.8
AL,Hanceville city,33053,82.7,18.5,92.4,3.6,0.2,0.7,2.4
AL,Harpersville town,43281,74.5,8,73.1,23.5,0.3,0.7,2.6
AL,Hartford city,29231,77.7,25.8,77.9,17.9,0.6,0.1,3.1
AL,Hartselle city,35972,80.7,18.8,91.5,4.3,0.8,0.4,2.5
AL,Harvest CDP,22094,70.6,36.7,62.2,31.7,0.5,1.2,3.1
AL,Hatton CDP,53878,91.9,6.9,89.7,0,7.3,0,0
AL,Hayden town,63708,90.6,5.5,87.6,8.8,0.7,0.2,0
AL,Hayneville town,(X),83.2,0,15,84.5,0,0,0.1
AL,Hazel Green CDP,50795,83.4,7.9,88.9,5.9,1.5,0.4,2.3
AL,Headland city,18802,72.1,44.4,70.1,27.5,0.4,0.3,1.4
AL,Heath town,41938,88.2,14.9,88.6,10.6,0,0,1.2
AL,Heflin city,51822,88.1,13.1,87.3,9.4,0.5,0.1,2.4
AL,Helena city,38333,80.3,32.5,82.5,13.1,0.2,1.5,3.3
AL,Henagar city,25823,74.3,22.6,96.2,0,1.8,0,1.4
AL,Highland Lake town,84615,97.7,2.1,98.8,0,1,0.2,0.7
AL,Highland Lakes CDP,30757,71.7,19.4,87.6,7.6,0.2,2.3,1.6
AL,Hillsboro town,51250,94.3,9.2,14.1,80.1,1.8,0.2,1.6
AL,Hissop CDP,124291,97.6,2,25.1,74.3,0,0.2,2
AL,Hobson CDP,34712,74.6,17.6,99.2,0,0,0,0
AL,Hobson City town,25032,73.8,23.2,12.6,85.9,0,0.4,1.3
AL,Hodges town,(X),63.6,0,98.6,0,1.4,0,1
AL,Hokes Bluff city,25563,77.3,41.3,98.5,0.3,0.1,0.4,0.2
AL,Hollins CDP,29583,69.3,26.9,89.4,7.7,0.6,0,0.7
AL,Hollis Crossroads CDP,46042,89.2,13.7,86,5.4,0.3,0,8.4
AL,Holly Pond town,(X),68.2,24.4,98.5,0.3,0.4,0,1.4
AL,Hollywood town,34408,71.4,29,75.8,14.8,1.7,0.3,4.9
AL,Holt CDP,44750,90.4,19,39.4,55.2,0.4,0.2,7.2
AL,Holtville CDP,29306,71.3,20.3,90.4,7.4,0.5,0.2,1.3
AL,Homewood city,30446,75,46.4,74.6,17.3,0.2,2.2,7.3
AL,Hoover city,52713,85.6,11.1,75.1,14.8,0.2,5.1,6
AL,Horn Hill town,61626,93.5,12.7,91.7,1.3,3.9,0,3.1
AL,Hueytown city,77146,95.2,6,70,27.2,0.3,0.5,2
AL,Huguley CDP,34464,66.3,10.2,73,25,0.6,0.2,1.2
AL,Huntsville city,42172,86.5,14.3,60.3,31.2,0.6,2.4,5.8
AL,Hurtsboro town,42063,79.3,16.3,29.1,69.6,0.5,0,2.2
AL,Hytop town,48775,90.2,18.2,91.5,0.3,4.5,0,3.4
AL,Ider town,19732,75.3,46,93.2,0.6,4,0,0.1
AL,Indian Springs Village city,38542,70.6,14.7,95.7,1.5,0.2,1.9,0.9
AL,Irondale city,32692,80.5,15.4,56.3,35.4,0.3,1.4,7.8
AL,Ivalee CDP,96346,97.2,4.4,96.1,1.6,0.5,0,1.4
AL,Jackson city,47351,87.4,20.5,54.9,42.9,0.7,0.4,1.4
AL,Jacksons' Gap town,50737,77,0,68.2,28.9,0.5,0.5,1.9
AL,Jacksonville city,31232,85.8,24.7,68.7,26.8,0.5,1.3,2.3
AL,Jasper city,36719,67.1,26.1,81.3,13.4,0.3,0.7,4.4
AL,Jemison city,38903,89,31.2,77.8,17.7,0.1,0.1,7
AL,Joppa CDP,39695,85.3,22.3,81.4,0.2,0.8,0,17.2
AL,Kansas town,38500,77.8,24.9,100,0,0,0,0
AL,Kellyton town,23672,67.3,0,68.2,19.8,0,0,11.5
AL,Kennedy town,38542,66.4,25.3,83.4,14.3,0,0.2,0.9
AL,Killen town,29688,71.3,29.8,94,3.2,0.3,0.5,2.4
AL,Kimberly town,35054,82.6,10.9,96.2,1.8,0.4,0.6,0.8
AL,Kinsey town,55313,87.1,17.7,49.9,46,0.3,0.1,4
AL,Kinston town,76771,89.4,6.3,95.6,0.2,2,0.6,0.9
AL,Ladonia CDP,37109,75.9,16.2,86.5,9.8,0.7,0.3,2.7
AL,La Fayette city,23571,69.5,30.2,29.3,68.8,0.1,0.4,1.9
AL,Lakeview town,32713,84.4,26,86.7,0,3.5,0,0
AL,Lake View town,25666,69.7,24.8,93.9,4.2,0.1,0.7,0.6
AL,Lanett city,46250,92.3,13.5,39.3,57.5,0.2,0.1,2.4
AL,Langston town,88594,95.7,2.2,94.4,1.1,0,0,0
AL,Leeds city,25220,77.2,29.8,78.7,14.3,0.4,0.6,6.6
AL,Leesburg town,31875,85.1,24.6,96.5,1.1,0,0,1.3
AL,Leighton town,52689,87.2,15.4,43.3,53.2,0.3,0.1,0.5
AL,Leroy CDP,41397,80.5,18,78.6,20.1,0.2,0,0.2
AL,Lester town,22500,71.9,25.6,99.1,0,0,0,0.9
AL,Level Plains town,47365,99.3,6.7,75.3,12.4,0.5,1.5,11
AL,Lexington town,(X),89,16.1,98.4,0,0.5,0.1,0.8
AL,Libertyville town,65769,91.3,11.1,88.9,0.9,1.7,0,4.3
AL,Lincoln city,35521,87.1,21.3,73.3,23.4,0.5,0.4,1.9
AL,Linden city,44286,77.3,4.8,51.1,46.7,0.1,0.2,2
AL,Lineville city,51776,96.6,11.6,58.6,36.9,0.3,0.2,4.6
AL,Lipscomb city,55605,87.5,12.7,22,61,1.1,0,19.7
AL,Lisman town,29722,87.1,25.1,6.7,92.2,0,0,0.2
AL,Littleville town,31472,77.8,12.9,96.5,0.7,0.7,0.6,1.8
AL,Livingston city,26163,71,30.6,34.6,63.9,0.1,0.3,0.7
AL,Loachapoka town,28750,67.2,44.9,58.9,37.2,0,2.8,1.1
AL,Lockhart town,49107,81.8,7.7,72.7,25.2,0.2,0,1.4
AL,Locust Fork town,14426,86,55.2,97,0.6,0.8,0,2.4
AL,Lookout Mountain CDP,34688,89.5,31.8,95.9,2.3,0.4,0,1.2
AL,Louisville town,36250,82.2,14.9,49.3,44.1,0.8,0,7.9
AL,Lowndesboro town,57143,81.9,14.2,76.5,20.9,0,0,0.9
AL,Loxley town,51058,82.3,14.9,84.4,9.4,0.7,0.6,5.1
AL,Luverne city,34286,65.7,11.8,62.6,29.6,0.3,5.5,1.9
AL,Lynn town,39375,90.2,3.4,98,0,0.3,0,0.9
AL,McDonald Chapel CDP,48000,85.3,20,55.8,39.3,0,0.6,2.8
AL,Macedonia CDP,29844,77.9,20.3,8.9,91.1,0,0,0
AL,McIntosh town,33452,74.8,27.9,37,55.5,4.2,0.4,2.9
AL,McKenzie town,15588,60.3,62.6,67.7,29.8,0.4,0,0.4
AL,McMullen town,(X),81.4,4.2,10,60,0,0,30
AL,Madison city,48625,95.8,13.7,74,14.6,0.5,7,4.3
AL,Madrid town,31500,75.5,22.5,88.9,8.6,0.6,0.9,3.1
AL,Magnolia Springs town,(X),40,40,96.3,0.1,0.6,0.4,2.8
AL,Malcolm CDP,92960,95.7,6.7,40.1,57.2,0.5,0.5,0
AL,Malvern town,38750,70.6,14.9,91.2,4.8,0.7,0.1,4.8
AL,Maplesville town,47614,89.1,5.3,68.9,28.5,0.1,0,1.1
AL,Marbury CDP,(X),90.1,63.7,92.2,3.8,0.1,0,3.8
AL,Margaret town,37000,74,19.8,77.3,19.3,0.3,0.8,1.6
AL,Marion city,32788,77.3,29.1,34.3,64.1,0.2,0.6,1.9
AL,Maytown town,37672,83.8,9.9,89.4,9.6,0.3,0,0
AL,Meadowbrook CDP,64789,92.5,10.1,92.8,3.9,0.1,2.1,1.6
AL,Megargel CDP,31029,81.4,33,91.9,3.2,3.2,0,0
AL,Memphis town,43750,88.4,9.2,0,100,0,0,0
AL,Mentone town,92193,94,6.5,92.2,1.9,1.4,0,0.6
AL,Meridianville CDP,-,53.1,46.9,76.3,18.5,0.7,1.7,2.7
AL,Midfield city,(X),29.4,60.5,16.4,81.6,0.1,0.2,1.4
