ShareRaceByCity
Geographic area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
CA,Citrus CDP,23750,88,48.5,54.3,2.2,1.1,7.9,72.8
CA,Citrus Heights city,(X),66.7,0,80.3,3.3,0.9,3.3,16.5
CA,Claremont city,72872,77.7,11.6,70.6,4.7,0.5,13.1,19.8
CA,Clarksburg CDP,96914,93.2,6.5,81.1,0.5,0.5,3.8,26.1
CA,Clay CDP,34559,68.3,32.1,82.1,0.5,2,0.7,20.3
CA,Clayton city,57679,45.1,14.1,85.1,1.3,0.3,6.6,9
CA,Clear Creek CDP,65185,80.9,12.5,88.2,0,3,0,8.9
CA,Clearlake city,60553,73.2,13.9,73.8,4,2.6,1.1,21.3
CA,Clearlake Oaks CDP,50047,89.9,15.4,87.1,2.3,1.9,1.4,8.1
CA,Clearlake Riviera CDP,88523,93.2,8.2,85.5,1.2,2.4,1.3,13.7
CA,Cleone CDP,69083,88.9,5.1,83.8,0.2,0.5,0.5,20.1
CA,Clio CDP,72500,89.4,4.7,97,0,0,0,1.5
CA,Clipper Mills CDP,131563,98.9,4,92.3,0,2.1,0,3.5
CA,Cloverdale city,21771,84.3,48.8,74.9,0.6,1.8,1.1,32.8
CA,Clovis city,25404,79.1,37.5,70.9,2.7,1.4,10.7,25.6
CA,Clyde CDP,27552,84.2,31.4,78.2,1.6,0.6,8.6,14.6
CA,Coachella city,44637,85.6,22.1,48.1,0.8,0.7,0.7,96.4
CA,Coalinga city,40714,82.2,14.8,57.8,4.1,1.3,3,53.5
CA,Coarsegold CDP,(X),74.5,25.5,87.9,0.6,2.7,1.7,8.5
CA,Cobb CDP,-,50,0,91.4,0.8,1.7,0.7,6.4
CA,Coffee Creek CDP,63917,82.4,6.7,91.2,0,2.3,2.3,7.4
CA,Cohasset CDP,62666,88.9,13.8,90.2,0.9,1.7,0.2,5.1
CA,Cold Springs CDP (El Dorado County),(X),97.7,24.5,92.6,0.9,1.1,0.7,9.6
CA,Cold Springs CDP (Tuolumne County),37497,51.2,31.6,96.7,0.6,1.7,0.6,2.2
CA,Coleville CDP,51860,73,23.2,78,1.2,2,1.6,22.2
CA,Colfax city,(X),88.6,16.4,89.6,0.2,1.3,1.5,9.1
CA,College City CDP,80545,91.7,17.3,71.4,0,1.7,0.3,46.2
CA,Collierville CDP,54500,89.8,12.7,80.2,0.7,1.1,2.5,26.8
CA,Colma town,57292,94.9,11.5,34.6,3.3,0.4,34.5,39.5
CA,Coloma CDP,49886,97,29,87.3,0.8,0.6,1.5,11.9
CA,Colton city,33929,100,0,43.4,9.7,1.3,5,71
CA,Columbia CDP,40278,100,0,89.9,1.2,1.1,1.3,7.4
CA,Colusa city,48015,93.6,11.4,66.1,0.9,1.8,1.3,52.4
CA,Commerce city,66607,81.4,0,54,0.7,1.3,1.1,94.5
CA,Comptche CDP,49375,82.9,18.9,91.8,0,0.6,0.6,6.3
CA,Compton city,77337,84.6,15.3,25.9,32.9,0.7,0.3,65
CA,Concord city,77833,93.2,6.3,64.5,3.6,0.7,11.1,30.6
CA,Concow CDP,41565,70.1,22.1,86.1,0,3.4,0.7,7.9
CA,Copperopolis CDP,39487,90.3,12.9,90.4,0.8,1.2,1,12.4
CA,Corcoran city,47607,73,18.1,36,15,1.4,0.8,62.6
CA,Corning city,45341,55,16,71.9,0.6,2.6,1.1,42.7
CA,Corona city,(X),100,0,59.7,5.9,0.8,9.9,43.6
CA,Coronado city,43507,60.1,26.6,88.1,2.1,0.5,3,12.2
CA,Coronita CDP,68318,87.1,13.3,63.2,1.5,1.2,4.1,51.7
CA,Corralitos CDP,38319,92.7,22.4,85.1,0.7,0.5,2.1,22.9
CA,Corte Madera town,91218,94.9,9.9,84.4,0.9,0.2,6.8,8.3
CA,Costa Mesa city,60568,94,9.7,68.5,1.5,0.6,7.9,35.8
CA,Cotati city,31831,57.2,38.8,81.6,1.7,1,3.9,17.3
CA,Coto de Caza CDP,31667,75.3,29.6,88.1,0.9,0.2,5.9,7.9
CA,Cottonwood CDP,74149,84.8,11.7,85.8,0.1,3,3.3,10.6
CA,Coultervillle CDP,90256,98,6,90,0,2.5,0.5,10
CA,Country Club CDP,75842,82.7,9.1,61.2,5,1.7,6.7,40.4
CA,Courtland CDP,83750,92.3,2.9,69.6,0,1.7,1.1,56.3
CA,Covelo CDP,122868,97.2,5.7,48.7,1.1,37.8,0.8,13
CA,Covina city,66459,84.7,14.5,58.5,4.2,1.1,11.9,52.4
CA,Cowan CDP,61737,89.3,12.7,86.2,0,0.6,0,50.6
CA,Crescent City city,162589,98.5,3.6,66.1,11.9,4.8,4.4,30.6
CA,Crescent Mills CDP,39085,79,34.4,87.8,0.5,7.7,0,13.3
CA,Cressey CDP,(X),100,0,64.2,0.3,0.8,3.8,49.5
CA,Crest CDP,44106,78.2,15.6,89.8,0.9,0.8,1.5,12.3
CA,Crestline CDP,(X),78.9,27,86.2,1,1.3,0.9,16.5
CA,Crestmore Heights CDP,30458,88.2,40.7,59.6,0.5,0.5,1.6,68.5
CA,Creston CDP,64813,86,10.9,94.7,0,2.1,1.1,6.4
CA,C-Road CDP,33438,70.5,45.7,93.3,0,0,1.3,6
CA,Crockett CDP,27622,66.1,28.7,79.8,4.7,1,3.5,15.8
CA,Cromberg CDP,(X),86.3,5,91.6,0,1.9,2.3,6.9
CA,Crowley Lake CDP,50625,76.5,26.3,87.9,0.5,0.7,1.3,14.6
CA,Crows Landing CDP,68816,93,8.1,45.6,1.4,0.3,0,69.9
CA,Cudahy city,49668,94,16.6,49.2,1.4,1,0.6,96
CA,Culver City city,-,100,0,60.3,9.5,0.5,14.8,23.2
CA,Cupertino city,(X),100,0,31.3,0.6,0.2,63.3,3.6
CA,Cutler CDP,77250,94.7,9.7,48.4,1,1.1,1.3,96.6
CA,Cutten CDP,25417,91.7,20.5,84.6,0.9,3.8,2.6,8.2
CA,Cuyama CDP,89097,92.1,10.4,70.2,0,3.5,0,70.2
CA,Cypress city,30000,66.7,20.8,54.4,3,0.6,31.3,18.4
CA,Daly City city,36429,42.9,31.3,23.6,3.6,0.4,55.6,23.7
CA,Dana Point city,81189,92.2,8.9,86.1,0.9,0.7,3.2,17
CA,Danville town,141953,96.7,3.7,83.1,0.9,0.2,10.5,6.8
CA,Daphnedale Park CDP,29718,40.1,53,90.2,1.1,3.3,0,9.8
CA,Darwin CDP,52798,98.4,11.8,88.4,0,4.7,2.3,4.7
CA,Davenport CDP,27159,42.2,62.6,66.7,1.5,1.2,2.9,42.2
CA,Davis city,81738,92,7.3,64.9,2.3,0.5,21.9,12.5
CA,Day Valley CDP,74449,85.4,9.7,85,0.6,0.7,2.5,13.8
CA,Deer Park CDP,84411,95,9.2,87.5,1,0.7,4,11.6
CA,Del Aire CDP,140809,97.9,4.1,60.5,4.6,0.6,9.2,47.2
CA,Delano city,-,100,0,36.4,7.9,0.9,12.7,71.5
CA,Delft Colony CDP,-,100,0,46.9,2.9,0,0,94.3
CA,Delhi CDP,60625,73.7,6.1,52.6,1.1,1.5,3.8,71.7
CA,Delleker CDP,56463,96.1,28.8,71.3,1,3.3,0.4,26.4
CA,Del Mar city,75313,88.8,16.9,94,0.2,0.2,2.8,4.2
CA,Del Monte Forest CDP,96058,95.1,13.6,86.9,1,0.2,8.6,3.7
CA,Del Rey CDP,74573,80.9,13.2,45.1,0.4,0.7,2.1,93.6
CA,Del Rey Oaks city,35933,55,30.3,81.7,1,0.7,7.9,10.4
CA,Del Rio CDP,6917,80.6,100,80.9,2,0.4,11.3,8.4
CA,Denair CDP,49716,55.5,17.3,77.8,0.6,1.2,1,32.3
CA,Derby Acres CDP,(X),77.8,1.9,89.8,0,0.3,0,11.2
CA,Descanso CDP,107013,98.8,3.5,90.7,0.4,2,1.1,10.5
CA,Desert Center CDP,98646,98.6,9.8,80.4,0.5,1.5,1,18.6
CA,Desert Edge CDP,23616,35.2,52.7,79.8,0.4,0.9,0.7,31.9
CA,Desert Hot Springs city,86250,94.8,7.1,58,8.2,1.4,2.6,52.6
CA,Desert Palms CDP,103966,96.8,0,96.7,0.8,0.2,1.4,2.5
CA,Desert Shores CDP,58802,71.3,31.3,64.2,0.7,2.4,0.4,76.8
CA,Desert View Highlands CDP,36563,74.3,27.5,54.5,7.7,1.2,2.1,53.1
CA,Diablo CDP,68750,91.5,10.6,92,0.1,0.2,4.7,3.4
CA,Diablo Grande CDP,55139,83.2,31.5,61.7,9.3,0.4,8.5,30.8
CA,Diamond Bar city,31261,79.6,25.3,33.2,4.1,0.3,52.5,20.1
CA,Diamond Springs CDP,33027,67.7,34.9,88.3,0.4,1.6,1,12.5
CA,Dillon Beach CDP,56766,98.4,8.3,94,0,1.1,1.4,3.2
CA,Dinuba city,29625,38.8,28.5,52,0.7,0.9,2.1,84.4
CA,Discovery Bay CDP,45268,81.4,13.3,81.7,4.1,0.6,3.9,15.5
CA,Dixon city,199926,100,0,71,3.1,1,3.7,40.5
CA,Dixon Lane-Meadow Creek CDP,93839,88.3,2,86.5,0.2,1.2,1.8,18.6
CA,Dobbins CDP,89221,92.1,7,82.9,0.8,8.3,1,4.5
CA,Dogtown CDP,53079,87.1,16.3,81.4,0.6,0.9,2.3,25.5
CA,Dollar Point CDP,45139,100,0,94.2,0.3,0.5,1.6,6.8
CA,Dorrington CDP,36860,58.6,28.6,94.6,0,0.3,1.8,5.4
CA,Dorris city,106529,96.3,5.9,81.4,2,1.9,0.5,21
CA,Dos Palos city,72188,78.1,13.9,68.2,3.4,1.3,0.7,62.1
CA,Dos Palos Y CDP,47440,86.6,7.6,69.7,0.3,2.5,0.3,61
CA,Douglas City CDP,(X),90.9,23.9,89.6,0,3.1,1.1,6.6
CA,Downey city,73333,85.5,7.5,56.6,3.9,0.7,7,70.7
CA,Downieville CDP,68967,93.9,14.1,95.4,0,1.4,0.7,4.3
CA,Doyle CDP,(X),91.7,2.8,86,2.1,5.5,0.4,8.1
CA,Drytown CDP,28977,78.3,32.3,91.6,0,0,0.6,6.6
CA,Duarte city,33608,63,37.4,51.9,7.4,0.8,15.8,47.8
CA,Dublin city,19219,50.7,35.3,51.3,9.4,0.5,26.8,14.5
CA,Ducor CDP,31776,94.1,40.8,41,0,2.5,3.3,82
CA,Dunnigan CDP,62897,76.1,11.4,59,7.6,1.8,1.3,41.2
CA,Dunsmuir city,(X),100,0,87.5,1.9,1,0.9,10.1
CA,Durham CDP,20926,92.2,23.2,92.2,0.3,1,0.6,11.1
CA,Dustin Acres CDP,108333,35.8,4.1,82.7,0.6,1.4,0.2,19.8
CA,Dutch Flat CDP,62089,82.2,15.5,96.9,0,1.9,0.6,2.5
CA,Eagleville CDP,118773,92,4,98.3,0,0,0,3.4
CA,Earlimart CDP,29313,46.6,43.7,37.4,0.8,0.5,6.3,91.4
CA,East Foothills CDP,47898,75.8,27.1,58.7,2.5,0.9,17.5,37.7
CA,East Hemet CDP,24770,88.3,24.5,70.4,3.9,1.9,1.6,38.9
CA,East La Mirada CDP,70374,97.5,17.2,72,1.8,0.8,4.7,50.3
CA,East Los Angeles CDP,59423,76.7,10.3,50.5,0.6,1.2,0.9,97.1
CA,East Nicolaus CDP,53512,100,0,70.7,0,0.4,8.4,21.8
CA,East Oakdale CDP,(X),73.4,35.1,91.6,0.3,0.7,2.2,10.3
CA,Easton CDP,23803,35.2,53.1,59.9,0.6,2.8,3.3,62.8
CA,East Orosi CDP,125037,91.6,6.6,42.2,0,1,0.4,94.1
CA,East Palo Alto city,48513,81.2,19.5,28.8,16.7,0.4,3.8,64.5
CA,East Pasadena CDP,38766,46.7,27.2,51.8,3,0.8,25.9,34.8
CA,East Porterville CDP,27292,84.8,14.6,54.1,1,2.3,1.5,72.9
CA,East Quincy CDP,102462,97.6,3.7,87.3,3.2,1.7,0.6,6.5
CA,East Rancho Dominguez CDP,54345,73.1,12.6,31.5,15.9,0.9,0.2,82
CA,East Richmond Heights CDP,34896,37.2,61.4,60.8,12,0.4,12.4,14.2
CA,East San Gabriel CDP,52012,65.8,18.5,33.9,1.6,0.4,49.9,24.9
CA,East Shore CDP,76523,89.9,12.2,91.7,0,4.5,0.6,4.5
CA,East Sonora CDP,32162,45.5,36.2,94,0.3,0.7,1.4,6.7
CA,East Tulare Villa CDP,47346,92.2,21.2,63.1,1.2,0.8,1.3,55
CA,Eastvale CDP,44127,52.7,23.8,42.9,9.7,0.5,24.2,40
CA,Edgewood CDP,65438,95.2,10.6,95.3,0,0,0,4.7
CA,Edmundson Acres CDP,65833,87.4,11.1,38.7,1.8,1.1,0.4,80.6
CA,Edna CDP,60625,56.5,0,95.9,0,1.6,0,11.4
CA,Edwards AFB CDP,40640,89.9,11.6,73.6,8,0.8,4.8,17.2
CA,El Cajon city,50163,68.7,23.9,69.3,6.3,0.8,3.6,28.2
CA,El Centro city,110927,87.7,5.9,59.6,2.5,1.3,2.3,81.6
CA,El Cerrito city,69006,87.7,8.7,53.3,7.7,0.5,27.3,11.1
CA,El Cerrito CDP,(X),100,0,69.5,1.8,1.1,1.9,52.1
CA,El Dorado Hills CDP,38750,60.7,42,83.3,1.5,0.5,8.5,9
CA,Eldridge CDP,75486,100,0,80.1,0.8,0.2,2.9,26.4
CA,El Granada CDP,59554,99.2,10,84.3,0.8,0.7,3.5,14.9
CA,Elizabeth Lake CDP,45925,80.4,24.2,90.6,1.2,0.5,1.3,13.2
CA,Elk Creek CDP,40517,69.4,25.2,88.3,0,4.3,0.6,4.9
CA,Elk Grove city,88737,93.8,9,46.1,11.2,0.6,26.3,18
CA,Elkhorn CDP,60625,76.6,6.6,71.7,0.6,0.4,4,37.6
CA,Elmira CDP,119452,96.9,4.7,79.8,0.5,5.3,1.1,25
CA,El Monte city,54506,91.4,25.5,38.8,0.8,1,25.1,69
CA,El Nido CDP,110434,92.5,3.9,49.1,0,2.1,2.7,74.2
CA,El Paso de Robles (Paso Robles) city,56071,94.9,7.2,77.7,2.1,1,2,34.5
CA,El Portal CDP,38750,69.6,9.9,91.6,0.2,1.9,1.1,5.9
CA,El Rancho CDP,79487,90.5,10.4,57.3,0.8,0.8,0,94.4
CA,El Rio CDP,90179,81.8,16.2,48.6,0.8,2.8,1,86
CA,El Segundo city,70298,82.4,6.4,78,2,0.4,8.8,15.7
CA,El Sobrante CDP (Contra Costa County),38085,57.8,24.9,50.6,13.2,1,15.7,24
CA,El Sobrante CDP (Riverside County),32344,45,21,58.4,7.9,0.6,17.6,28.5
CA,El Verano CDP,60449,83.8,13.8,74.1,0.5,0.5,2.4,37.8
CA,Elverta CDP,100964,100,26.1,81.1,2.1,1.4,3.8,15.6
CA,Emerald Lake Hills CDP,-,62,8.2,85.4,0.9,0.1,7.5,6.7
CA,Emeryville city,62361,59.7,19.2,44.5,17.5,0.4,27.5,9.2
CA,Empire CDP,85727,95.6,7.3,54.3,0.5,1.3,1.4,54.3
CA,Encinitas city,61538,91,12.6,85.8,0.6,0.5,3.9,13.7
CA,Escalon city,99361,95.4,8,81.6,0.4,1.1,1.3,27
CA,Escondido city,57823,79.8,6.1,60.4,2.5,1,6.1,48.9
CA,Esparto CDP,60096,84.7,7.6,59.7,1.4,1.6,4.2,49.5
CA,Etna city,164643,98.5,2.7,85.1,0,3.8,0.1,3.5
CA,Eucalyptus Hills CDP,77806,96.9,11.9,85.9,3.7,1.1,1.6,14.7
CA,Eureka city,32071,64.1,41.8,79.3,1.9,3.7,4.2,11.6
CA,Exeter city,95149,94.4,8.1,69.2,0.6,1.7,1.3,45.5
CA,Fairbanks Ranch CDP,52125,88.3,15,88.3,0.8,0.2,6.6,7.1
CA,Fairfax town,50899,73.6,18.7,88.9,1.5,0.5,2.7,6.8
CA,Fairfield city,66118,80.7,10.4,46,15.7,0.8,14.9,27.3
CA,Fairmead CDP,30688,90.8,24.4,52.8,6.1,1.6,0.5,68
CA,Fair Oaks CDP,80234,93.5,2.7,85.7,2.4,0.8,4.2,9.6
CA,Fairview CDP,37094,86.5,24.5,45,21,0.8,15.2,21.7
CA,Fallbrook CDP,41309,77.8,29.1,67,1.6,0.8,1.9,45.2
CA,Fall River Mills CDP,132740,94.7,3.9,78.5,0,5.2,0.5,18.3
CA,Farmersville city,91607,97.4,6.8,50,0.6,2,0.7,83.8
CA,Farmington CDP,67364,85.6,13.2,79.2,3.4,0.5,2.9,20.3
CA,Fellows CDP,53750,83.2,21.6,88.7,0.9,4.7,0,10.4
CA,Felton CDP,31641,60.9,47.3,91,0.6,0.7,1.7,7
CA,Ferndale city,73115,94.3,11.9,93.4,0.1,1.6,1.5,5.6
CA,Fetters Hot Springs-Agua Caliente CDP,96678,92.3,7.6,70.6,0.6,0.9,1.6,46.5
CA,Fiddletown CDP,52083,79.9,19,91.5,0,2.1,0.4,9.4
CA,Fieldbrook CDP,31367,84.8,20.1,88.8,0.5,2.2,0.6,5.9
CA,Fields Landing CDP,33548,54,31.2,76.1,2.2,4.7,7.6,6.5
CA,Fillmore city,(X),100,0,57.2,0.5,1.2,1,74.7
CA,Firebaugh city,75625,96.2,2.5,62.5,0.9,1.5,0.5,91.2
CA,Fish Camp CDP,71763,95.5,2.6,96.6,0,0,1.7,5.1
CA,Florence-Graham CDP,43548,93.8,9.5,37.7,9.2,0.8,0.2,90
CA,Florin CDP,57662,64.9,28,31.6,15.8,1.1,28.6,27.5
CA,Floriston CDP,50750,84.3,15.7,91.8,0,5.5,0,0
CA,Flournoy CDP,64750,94.9,23.2,89.1,0,1,3,8.9
CA,Folsom city,(X),85.7,26.6,74.3,5.7,0.6,12.5,11.2
CA,Fontana city,56239,64.2,24.2,47.4,10,1,6.6,66.8
CA,Foothill Farms CDP,39150,41.6,33.5,64.2,11,1.1,5.2,22.9
CA,Forbestown CDP,23578,100,0,81.9,1.3,4.7,3.1,7.2
CA,Ford City CDP,33934,41.5,32.8,63.9,0.7,3.6,0.8,46.1
CA,Foresthill CDP,39998,71.4,26.5,92.4,0.5,2,0.4,6.5
CA,Forest Meadows CDP,(X),100,0,95.9,0,0.3,1.1,4.8
CA,Forest Ranch CDP,55625,83.9,40.3,94.3,0.7,0.5,0.3,4.4
CA,Forestville CDP,100978,92.4,4.7,88.5,1,1.1,1.6,12.3
CA,Fort Bidwell CDP,64824,72.5,16.1,43.4,1.2,43.9,0,13.3
CA,Fort Bragg city,44512,85.4,24.3,74.8,0.7,2.2,1.5,31.8
CA,Fort Irwin CDP,(X),85.1,0,62,12.3,1.2,4.5,25.6
CA,Fort Jones city,31112,66.4,40.9,77.5,3.9,7.3,1,12.3
CA,Fortuna city,24755,83,31.9,81.2,0.6,3.7,0.9,17
CA,Fort Washington CDP,59306,91.1,2.6,89.7,1.7,0.4,3,11.2
CA,Foster City city,48255,93.4,10.8,45.5,1.9,0.1,45,6.5
CA,Fountain Valley city,53112,94.4,14.7,56.5,0.9,0.4,33.3,13.1
CA,Fowler city,25500,66.9,37.1,47.3,1.9,2.4,11,66.2
CA,Franklin CDP (Merced County),33867,85.2,22.3,56.2,4.4,1.3,15.1,52.9
CA,Franklin CDP (Sacramento County),57212,97.4,4,76.8,0,0,3.2,27.1
CA,Frazier Park CDP,50136,99.2,10.4,85.4,0.6,1.2,0.8,19.6
CA,Freedom CDP,36136,89.1,35.1,47.3,1.4,1,3.3,70.7
CA,Freeport CDP,44077,86.7,16.8,89.5,0,0,5.3,15.8
CA,Fremont city,67221,100,0,32.8,3.3,0.5,50.6,14.8
CA,French Camp CDP,123039,96,4.2,49.7,12.1,0.9,4.8,51.8
CA,French Gulch CDP,82367,90.2,8.1,85.5,0.9,4.3,0.9,4.9
CA,French Valley CDP,44539,68.9,25.3,64.3,7.9,1,11.6,27.4
CA,Fresno city,40160,56.3,34.2,49.6,8.3,1.7,12.6,46.9
CA,Friant CDP,24135,78.2,16.5,85.1,0.8,2.8,1.4,12.4
CA,Fruitdale CDP,36156,90.9,20.8,67.7,3.3,1.2,11.8,26.1
CA,Fruitridge Pocket CDP,46333,59.9,34.3,29.4,18.1,1.8,19.2,40.4
CA,Fuller Acres CDP,(X),81.1,0,61.3,1.3,1.2,0.1,77.5
CA,Fullerton city,105355,92.3,6.1,53.9,2.3,0.6,22.8,34.4
CA,Fulton CDP,35313,58.8,30.2,64.5,0.6,2.2,2,34.4
CA,Furnace Creek CDP,28047,92.5,26.4,25,0,66.7,0,0
CA,Galt city,91046,90.7,4.8,66.1,1.8,1.5,3.4,42.8
CA,Garberville CDP,41531,75.2,29.8,89.3,1.5,3.2,1.9,5.9
CA,Gardena city,21375,77,14.3,24.6,24.4,0.6,26.2,37.7
CA,Garden Acres CDP,77583,87,6.6,49.2,2.2,1.6,3.4,68.9
CA,Garden Farms CDP,27536,56.7,47.7,90.2,0.5,0.5,1.3,10.4
CA,Garden Grove city,33365,41.7,29.8,39.9,1.3,0.6,37.1,36.9
CA,Garey CDP,65974,86.6,16.8,77.9,0,1.5,0,30.9
CA,Garnet CDP,(X),72.8,40.8,56.3,2.7,1.3,0.8,74
CA,Gasquet CDP,32250,81.3,6.4,88.5,0.3,4.1,0.2,5.9
CA,Gazelle CDP,63065,83.1,19.4,92.9,0,5.7,0,7.1
CA,Georgetown CDP,33239,82.9,16.6,89.9,2,2.5,0.8,7.5
CA,Gerber CDP,47674,81.8,15,54.2,0.6,5.2,0.8,49.6
CA,Geyserville CDP,39375,50.9,22.6,70.6,0.6,0.8,1.6,38.1
CA,Gilroy city,76488,92.8,34.3,58.7,1.9,1.7,7.1,57.8
CA,Glen Avon CDP,58449,73.7,17.6,50.9,4,1.1,2.3,68.2
CA,Glendale city,(X),18.8,11.2,71.1,1.3,0.3,16.4,17.4
CA,Glendora city,37134,73,22.8,75.1,1.9,0.7,8,30.7
CA,Glen Ellen CDP,36442,100,30.9,88.4,0.4,1.1,2,8.5
CA,Golden Hills CDP,30556,61.5,30.4,83.6,1.5,1.4,1.4,19.3
CA,Gold Mountain CDP,44241,87.8,13.5,97.5,0,1.3,0,0
CA,Gold River CDP,47917,59.8,25.9,73.8,2.5,0.3,18,6.5
CA,Goleta city,50962,71.4,15,69.7,1.6,0.9,9.1,32.9
CA,Gonzales city,83027,77,15.1,42.3,1,1.5,2.3,88.9
CA,Good Hope CDP,52574,84.4,14.6,45.2,7.3,1.1,0.7,79.6
CA,Goodyears Bar CDP,75148,90.2,9.4,94.1,0,5.9,0,1.5
CA,Goshen CDP,56188,94.9,7.9,39.5,2.5,3,0.4,82.6
CA,Graeagle CDP,64243,91.6,10.5,97.4,0.1,0.7,0,3.7
CA,Grand Terrace city,-,100,0,65.7,5.6,1,6.5,39.1
CA,Grangeville CDP,107721,96.4,4.5,83.8,3.2,1.1,1.1,30.9
CA,Granite Bay CDP,80438,89.5,8.6,88,0.7,0.7,5.6,6.2
CA,Granite Hills CDP,48865,53.9,23,86.2,1.4,0.9,1.5,13.2
CA,Graniteville CDP,35688,57.2,38.1,100,0,0,0,0
CA,Grass Valley city,-,100,44,89.4,0.4,1.6,1.5,10.4
CA,Graton CDP,35972,48.2,29.6,82.1,0.6,1.7,1.5,18.9
CA,Grayson CDP,63261,92.6,2.2,47.8,1.8,0.4,0.3,86
CA,Greeley Hill CDP,63871,89.3,9.9,92.6,0.8,1.5,0.1,5.8
CA,Greenacres CDP,75313,83.7,8,82.9,0.9,2.1,1.3,20.1
CA,Green Acres CDP,112718,97.6,3.2,66,1.9,2.3,1.4,47.4
CA,Greenfield CDP,110787,97.7,5.4,62.9,1.8,1.6,1.1,56.7
CA,Greenfield city,-,-,-,36.6,1.1,5.4,1.1,91.3
CA,Greenhorn CDP,33700,88.7,28.4,90.3,0.4,3,0.8,9.3
CA,Green Valley CDP (Los Angeles County),55227,81.5,8,87.7,0.8,1.1,1.2,12
CA,Green Valley CDP (Solano County),27188,68.8,20.6,86.9,2.5,0.4,5,7.4
CA,Greenview CDP,32500,76.4,21.1,80.1,0,5,0.5,9.5
CA,Greenville CDP,57780,89.8,10.5,79.5,0.1,11.8,1,9.7
CA,Grenada CDP,40583,60.6,40.5,83.7,0.5,9.5,0.3,3.3
CA,Gridley city,45393,65.2,12,65.1,0.8,1.5,3.8,45.6
CA,Grimes CDP,49263,50.6,25.1,72.6,1.8,0.8,0.3,66
CA,Grizzly Flats CDP,50855,92.9,12.2,89.5,0.6,1.3,0.7,9
CA,Groveland CDP,78792,93.8,8,90.2,0.3,1.5,1.5,8.2
CA,Grover Beach city,66750,97.1,1,75.7,1.1,1.4,4.1,29.2
CA,Guadalupe city,30326,89.7,60.2,48,1,1.5,3.9,86.2
CA,Guerneville CDP,26481,82.3,17.6,86.6,0.7,1.5,1,12.2
CA,Guinda CDP,41806,86.3,21.7,68.9,10.2,0,0.4,26.8
CA,Gustine city,35455,69.2,21.6,70.2,1.3,1,1.7,50.2
CA,Hacienda Heights CDP,41094,66.7,24.8,40.5,1.4,0.6,37.1,45.5
CA,Half Moon Bay city,49415,92.9,4.9,75.8,0.7,0.6,4.3,31.5
CA,Hamilton Branch CDP,(X),76.3,30.6,95.7,0.4,0,0.6,3.7
CA,Hamilton City CDP,54228,85.9,13.8,47.4,1,1.3,0.9,84.7
CA,Hanford city,43710,56.3,18.9,62.5,4.9,1.3,4.3,47.1
CA,Happy Camp CDP,44127,93.9,18.2,68.4,0.2,23.3,0.6,8
CA,Harbison Canyon CDP,(X),75.7,13.2,88.6,0.3,1.9,1.8,16.2
CA,Hardwick CDP,38125,63.6,15.6,45.7,3.6,0,0,62.3
CA,Hartland CDP,78039,85.8,7.9,90,10,0,0,0
CA,Hartley CDP,103255,83.8,3.7,77.9,2.8,1,2.8,20.3
CA,Hasley Canyon CDP,53250,95.2,10.1,85,1.3,0.2,2.3,21.5
CA,Hat Creek CDP,33257,50.1,22,77.3,1.3,14.6,0.6,6.5
CA,Hawaiian Gardens city,53986,80.8,20.5,45.4,3.8,1.2,10.6,77.2
CA,Hawthorne city,24861,81.8,31,32.8,27.7,0.7,6.7,52.9
CA,Hayfork CDP,79167,90.5,10.2,84.4,0.2,6.8,0.3,8
CA,Hayward city,(X),51.7,46.9,34.2,11.9,1,22,40.7
CA,Healdsburg city,-,-,-,74.1,0.5,1.8,1.1,33.9
CA,Heber CDP,94375,90.8,1.8,50.9,0.1,0.8,0.4,98.2
CA,Hemet city,113533,86.6,12.1,67.7,6.4,1.6,3,35.8
CA,Herald CDP,36042,58.1,21.9,78.9,1.7,1.1,5.4,21.5
CA,Hercules city,37571,58.8,30.7,22,18.9,0.4,45.5,14.6
CA,Herlong CDP,44504,73.8,20.1,62.8,12.8,5.4,0.3,15.4
CA,Hermosa Beach city,23819,90.2,24.6,86.8,1.2,0.3,5.7,8.4
CA,Hesperia city,65096,80.1,13.4,61.1,5.8,1.2,2.1,48.9
CA,Hickman CDP,65638,87.5,7.4,78.5,0.2,2.3,0.6,28.1
CA,Hidden Hills city,37156,55.2,13.3,92.3,2,0.2,2.3,6.6
CA,Hidden Meadows CDP,33989,79.5,26,82.2,1.9,0.3,9.1,9.4
CA,Hidden Valley Lake CDP,111058,89.3,15.4,86.6,1.1,1.4,1.3,13.1
CA,Highgrove CDP,101018,93.3,5.1,52.8,4.1,1,2.8,65.3
CA,Highland city,48214,63.2,11.7,52.4,11.1,1,7.4,48.1
CA,Highlands-Baywood Park CDP,111187,99,4,66,1.3,0.2,25.3,7.6
CA,Hillsborough town,44874,77.2,24.8,66.3,0.4,0.1,28.1,3.4
CA,Hilmar-Irwin CDP,54375,78.3,13.3,86.1,0.3,0.4,1.7,17.6
CA,Hiouchi CDP,241667,96.5,4.9,88.7,0,3.7,2,3.7
CA,Hollister city,81417,96.2,9.2,59.4,1,1.8,2.7,65.7
CA,Holtville city,66682,91.9,11,61.5,0.6,0.7,0.8,81.8
CA,Home Garden CDP,43021,69,31.9,37,12.5,3.6,2.8,67.5
